0.05/run.par.log:DATA:	test status	p-value	test pop	ref A	ref B	2-ref z-score	1-ref z-score A	1-ref z-score B	max decay diff %	2-ref decay	2-ref amp_exp	1-ref decay A	1-ref amp_exp A	1-ref decay B	1-ref amp_exp B
0.05/run.par.log:DATA:	failure (warning: decay rates inconsistent)	0.23	QCC	HOL	JBC	2.42	7.05	6.83	76%	13.66 +/- 5.64	0.00000118 +/- 0.00000039	30.16 +/- 4.28	0.00008388 +/- 0.00001031	30.29 +/- 4.43	0.00008345 +/- 0.00000986
0.05/run.par.log:DATA:	failure (warning: decay rates inconsistent)	15	QCC	HOL	JER	0.00	7.05	9.54	178%	2.00 +/- inf	0.00000008 +/- inf	30.16 +/- 4.28	0.00008388 +/- 0.00001031	34.46 +/- 3.61	0.00009454 +/- 0.00000916
0.05/run.par.log:DATA:	failure (warning: decay rates inconsistent)	15	QCC	HOL	LIM	0.04	7.05	9.76	118%	9.59 +/- 241.91	0.00000041 +/- 0.00001066	30.16 +/- 4.28	0.00008388 +/- 0.00001031	37.16 +/- 3.81	0.00010017 +/- 0.00000998
0.05/run.par.log:DATA:	failure (warning: decay rates inconsistent)	4.7	QCC	HOL	RAN	1.01	7.05	7.01	78%	66.24 +/- 58.85	0.00000131 +/- 0.00000129	30.16 +/- 4.28	0.00008388 +/- 0.00001031	28.98 +/- 4.13	0.00007949 +/- 0.00001011
0.05/run.par.log:DATA:	failure (warning: decay rates inconsistent)	0.48	QCC	JBC	JER	2.14	6.83	9.54	82%	14.43 +/- 6.50	0.00000147 +/- 0.00000069	30.29 +/- 4.43	0.00008345 +/- 0.00000986	34.46 +/- 3.61	0.00009454 +/- 0.00000916
0.05/run.par.log:DATA:	failure (warning: decay rates inconsistent)	11	QCC	JBC	LIM	0.31	6.83	9.76	117%	9.79 +/- 31.85	0.00000057 +/- 0.00000104	30.29 +/- 4.43	0.00008345 +/- 0.00000986	37.16 +/- 3.81	0.00010017 +/- 0.00000998
0.05/run.par.log:DATA:	failure (warning: decay rates inconsistent)	0.81	QCC	JBC	RAN	1.93	6.83	7.01	95%	10.75 +/- 4.04	0.00000054 +/- 0.00000028	30.29 +/- 4.43	0.00008345 +/- 0.00000986	28.98 +/- 4.13	0.00007949 +/- 0.00001011
0.05/run.par.log:DATA:	failure (warning: decay rates inconsistent)	15	QCC	JER	LIM	0.00	9.54	9.76	174%	2.63 +/- inf	0.00000020 +/- inf	34.46 +/- 3.61	0.00009454 +/- 0.00000916	37.16 +/- 3.81	0.00010017 +/- 0.00000998
0.05/run.par.log:DATA:	failure (warning: decay rates inconsistent)	15	QCC	JER	RAN	0.00	9.54	7.01	171%	2.72 +/- inf	0.00000022 +/- inf	34.46 +/- 3.61	0.00009454 +/- 0.00000916	28.98 +/- 4.13	0.00007949 +/- 0.00001011
0.05/run.par.log:DATA:	failure (warning: decay rates inconsistent)	15	QCC	LIM	RAN	0.00	9.76	7.01	180%	2.00 +/- inf	0.00000008 +/- inf	37.16 +/- 3.81	0.00010017 +/- 0.00000998	28.98 +/- 4.13	0.00007949 +/- 0.00001011
0.2/run.par.log:DATA:	test status	p-value	test pop	ref A	ref B	2-ref z-score	1-ref z-score A	1-ref z-score B	max decay diff %	2-ref decay	2-ref amp_exp	1-ref decay A	1-ref amp_exp A	1-ref decay B	1-ref amp_exp B
0.2/run.par.log:DATA:	failure (warning: decay rates inconsistent)	15	QCC	GIR	NEL	0.00	5.82	6.06	154%	183.14 +/- inf	0.00002791 +/- inf	23.94 +/- 4.11	0.00013577 +/- 0.00002067	24.04 +/- 3.60	0.00013200 +/- 0.00002178
0.2/run.par.log:DATA:	success (warning: decay rates inconsistent)	1.1e-11	QCC	GIR	FLV	7.17	5.82	10.71	44%	23.13 +/- 3.23	0.00035107 +/- 0.00004518	23.94 +/- 4.11	0.00013577 +/- 0.00002067	36.13 +/- 3.37	0.00009787 +/- 0.00000906
0.2/run.par.log:DATA:	success	9.3e-12	QCC	GIR	HOL	7.20	5.82	7.64	19%	23.12 +/- 3.21	0.00035256 +/- 0.00004576	23.94 +/- 4.11	0.00013577 +/- 0.00002067	27.92 +/- 3.65	0.00007624 +/- 0.00000874
0.2/run.par.log:DATA:	success	9e-11	QCC	GIR	JBC	6.88	5.82	6.70	20%	24.54 +/- 3.57	0.00037749 +/- 0.00004986	23.94 +/- 4.11	0.00013577 +/- 0.00002067	29.31 +/- 4.38	0.00008129 +/- 0.00000979
0.2/run.par.log:DATA:	success (warning: decay rates inconsistent)	1.9e-12	QCC	GIR	JER	7.41	5.82	9.33	37%	23.07 +/- 3.11	0.00035342 +/- 0.00004470	23.94 +/- 4.11	0.00013577 +/- 0.00002067	33.53 +/- 3.59	0.00009188 +/- 0.00000973
0.2/run.par.log:DATA:	success	4.7e-12	QCC	GIR	LIM	7.29	5.82	7.90	13%	23.52 +/- 3.23	0.00035571 +/- 0.00004719	23.94 +/- 4.11	0.00013577 +/- 0.00002067	26.71 +/- 3.38	0.00007082 +/- 0.00000846
0.2/run.par.log:DATA:	success (warning: decay rates inconsistent)	9e-13	QCC	NEL	FLV	7.51	6.06	10.71	45%	22.76 +/- 2.93	0.00033608 +/- 0.00004476	24.04 +/- 3.60	0.00013200 +/- 0.00002178	36.13 +/- 3.37	0.00009787 +/- 0.00000906
0.2/run.par.log:DATA:	success	8e-13	QCC	NEL	HOL	7.52	6.06	7.64	21%	22.65 +/- 2.92	0.00033627 +/- 0.00004469	24.04 +/- 3.60	0.00013200 +/- 0.00002178	27.92 +/- 3.65	0.00007624 +/- 0.00000874
0.2/run.par.log:DATA:	success	4.1e-12	QCC	NEL	JBC	7.31	6.06	6.70	20%	23.95 +/- 3.22	0.00035894 +/- 0.00004913	24.04 +/- 3.60	0.00013200 +/- 0.00002178	29.31 +/- 4.38	0.00008129 +/- 0.00000979
0.2/run.par.log:DATA:	success (warning: decay rates inconsistent)	5.6e-13	QCC	NEL	JER	7.57	6.06	9.33	39%	22.66 +/- 2.84	0.00033736 +/- 0.00004456	24.04 +/- 3.60	0.00013200 +/- 0.00002178	33.53 +/- 3.59	0.00009188 +/- 0.00000973
0.2/run.par.log:DATA:	success	2e-11	QCC	NEL	LIM	7.09	6.06	7.90	15%	22.98 +/- 2.98	0.00033911 +/- 0.00004781	24.04 +/- 3.60	0.00013200 +/- 0.00002178	26.71 +/- 3.38	0.00007082 +/- 0.00000846
0.2/run.par.log:DATA:	failure (warning: decay rates inconsistent)	4.2	QCC	FLV	HOL	1.08	10.71	7.64	136%	146.58 +/- 82.74	0.00000392 +/- 0.00000362	36.13 +/- 3.37	0.00009787 +/- 0.00000906	27.92 +/- 3.65	0.00007624 +/- 0.00000874
0.2/run.par.log:DATA:	failure (warning: decay rates inconsistent)	1.2	QCC	FLV	JBC	1.75	10.71	6.70	86%	14.35 +/- 8.19	0.00000058 +/- 0.00000032	36.13 +/- 3.37	0.00009787 +/- 0.00000906	29.31 +/- 4.38	0.00008129 +/- 0.00000979
0.2/run.par.log:DATA:	failure	2.1	QCC	FLV	JER	1.48	10.71	9.33	9%	36.72 +/- 20.79	0.00000062 +/- 0.00000042	36.13 +/- 3.37	0.00009787 +/- 0.00000906	33.53 +/- 3.59	0.00009188 +/- 0.00000973
0.2/run.par.log:DATA:	failure (warning: decay rates inconsistent)	12	QCC	FLV	LIM	0.23	10.71	7.90	45%	42.41 +/- 125.78	0.00000071 +/- 0.00000308	36.13 +/- 3.37	0.00009787 +/- 0.00000906	26.71 +/- 3.38	0.00007082 +/- 0.00000846
0.2/run.par.log:DATA:	failure (warning: decay rates inconsistent)	6.6	QCC	HOL	JBC	0.78	7.64	6.70	37%	20.21 +/- 25.76	0.00000051 +/- 0.00000066	27.92 +/- 3.65	0.00007624 +/- 0.00000874	29.31 +/- 4.38	0.00008129 +/- 0.00000979
0.2/run.par.log:DATA:	failure (warning: decay rates inconsistent)	15	QCC	HOL	JER	-0.02	7.64	9.33	141%	5.85 +/- 213.66	-0.00000010 +/- 0.00000518	27.92 +/- 3.65	0.00007624 +/- 0.00000874	33.53 +/- 3.59	0.00009188 +/- 0.00000973
0.2/run.par.log:DATA:	failure (warning: decay rates inconsistent)	2.6	QCC	HOL	LIM	1.35	7.64	7.90	88%	10.93 +/- 8.08	0.00000034 +/- 0.00000020	27.92 +/- 3.65	0.00007624 +/- 0.00000874	26.71 +/- 3.38	0.00007082 +/- 0.00000846
0.2/run.par.log:DATA:	failure (warning: decay rates inconsistent)	0.57	QCC	JBC	JER	2.07	6.70	9.33	50%	20.12 +/- 9.71	0.00000055 +/- 0.00000022	29.31 +/- 4.38	0.00008129 +/- 0.00000979	33.53 +/- 3.59	0.00009188 +/- 0.00000973
0.2/run.par.log:DATA:	failure	3.1	QCC	JBC	LIM	1.25	6.70	7.90	17%	31.60 +/- 22.60	0.00000117 +/- 0.00000093	29.31 +/- 4.38	0.00008129 +/- 0.00000979	26.71 +/- 3.38	0.00007082 +/- 0.00000846
0.2/run.par.log:DATA:	failure (warning: decay rates inconsistent)	5.1	QCC	JER	LIM	0.96	9.33	7.90	54%	46.61 +/- 41.70	0.00000096 +/- 0.00000100	33.53 +/- 3.59	0.00009188 +/- 0.00000973	26.71 +/- 3.38	0.00007082 +/- 0.00000846
0.3/run.par.log:DATA:	test status	p-value	test pop	ref A	ref B	2-ref z-score	1-ref z-score A	1-ref z-score B	max decay diff %	2-ref decay	2-ref amp_exp	1-ref decay A	1-ref amp_exp A	1-ref decay B	1-ref amp_exp B
0.3/run.par.log:DATA:	failure (warning: decay rates inconsistent)	15	QCC	GIR	NEL	0.00	5.63	6.41	179%	500.00 +/- inf	0.00193918 +/- inf	27.26 +/- 4.84	0.00016009 +/- 0.00002404	30.48 +/- 4.42	0.00017793 +/- 0.00002775
0.3/run.par.log:DATA:	success (warning: decay rates inconsistent)	5.5e-10	QCC	GIR	FLV	6.62	5.63	9.54	29%	26.21 +/- 3.96	0.00041146 +/- 0.00005409	27.26 +/- 4.84	0.00016009 +/- 0.00002404	35.05 +/- 3.68	0.00009803 +/- 0.00000929
0.3/run.par.log:DATA:	success	1.6e-09	QCC	GIR	HOL	6.46	5.63	7.07	8%	26.52 +/- 4.10	0.00041704 +/- 0.00005684	27.26 +/- 4.84	0.00016009 +/- 0.00002404	28.66 +/- 4.05	0.00007933 +/- 0.00000990
0.3/run.par.log:DATA:	success	7.4e-10	QCC	GIR	JBC	6.57	5.63	6.39	6%	28.23 +/- 4.29	0.00044493 +/- 0.00005969	27.26 +/- 4.84	0.00016009 +/- 0.00002404	29.09 +/- 4.55	0.00007969 +/- 0.00000996
0.3/run.par.log:DATA:	success	3.6e-10	QCC	GIR	JER	6.68	5.63	7.80	23%	25.69 +/- 3.85	0.00040591 +/- 0.00005367	27.26 +/- 4.84	0.00016009 +/- 0.00002404	32.25 +/- 4.13	0.00009044 +/- 0.00001013
0.3/run.par.log:DATA:	success	4e-10	QCC	GIR	LIM	6.66	5.63	7.36	6%	26.55 +/- 3.98	0.00041376 +/- 0.00005608	27.26 +/- 4.84	0.00016009 +/- 0.00002404	28.20 +/- 3.83	0.00007592 +/- 0.00000905
0.3/run.par.log:DATA:	success	2.4e-12	QCC	NEL	FLV	7.38	6.41	9.54	21%	28.48 +/- 3.86	0.00044515 +/- 0.00005857	30.48 +/- 4.42	0.00017793 +/- 0.00002775	35.05 +/- 3.68	0.00009803 +/- 0.00000929
0.3/run.par.log:DATA:	success	9.9e-12	QCC	NEL	HOL	7.19	6.41	7.07	6%	28.72 +/- 4.00	0.00044980 +/- 0.00006171	30.48 +/- 4.42	0.00017793 +/- 0.00002775	28.66 +/- 4.05	0.00007933 +/- 0.00000990
0.3/run.par.log:DATA:	success	1.3e-12	QCC	NEL	JBC	7.46	6.41	6.39	5%	29.41 +/- 3.94	0.00046108 +/- 0.00006124	30.48 +/- 4.42	0.00017793 +/- 0.00002775	29.09 +/- 4.55	0.00007969 +/- 0.00000996
0.3/run.par.log:DATA:	success	4.7e-12	QCC	NEL	JER	7.29	6.41	7.80	14%	27.91 +/- 3.83	0.00043839 +/- 0.00005963	30.48 +/- 4.42	0.00017793 +/- 0.00002775	32.25 +/- 4.13	0.00009044 +/- 0.00001013
0.3/run.par.log:DATA:	success	4e-12	QCC	NEL	LIM	7.31	6.41	7.36	8%	28.76 +/- 3.92	0.00044718 +/- 0.00006118	30.48 +/- 4.42	0.00017793 +/- 0.00002775	28.20 +/- 3.83	0.00007592 +/- 0.00000905
0.3/run.par.log:DATA:	failure (warning: decay rates inconsistent)	5.9	QCC	FLV	HOL	0.86	9.54	7.07	133%	142.02 +/- 70.97	0.00000280 +/- 0.00000327	35.05 +/- 3.68	0.00009803 +/- 0.00000929	28.66 +/- 4.05	0.00007933 +/- 0.00000990
0.3/run.par.log:DATA:	failure (warning: decay rates inconsistent)	1.7	QCC	FLV	JBC	1.60	9.54	6.39	74%	16.17 +/- 9.56	0.00000052 +/- 0.00000032	35.05 +/- 3.68	0.00009803 +/- 0.00000929	29.09 +/- 4.55	0.00007969 +/- 0.00000996
0.3/run.par.log:DATA:	failure	4.6	QCC	FLV	JER	1.02	9.54	7.80	22%	40.18 +/- 29.32	0.00000034 +/- 0.00000034	35.05 +/- 3.68	0.00009803 +/- 0.00000929	32.25 +/- 4.13	0.00009044 +/- 0.00001013
0.3/run.par.log:DATA:	failure (warning: decay rates inconsistent)	15	QCC	FLV	LIM	0.00	9.54	7.36	121%	114.25 +/- inf	0.00000150 +/- inf	35.05 +/- 3.68	0.00009803 +/- 0.00000929	28.20 +/- 3.83	0.00007592 +/- 0.00000905
0.3/run.par.log:DATA:	failure (warning: decay rates inconsistent)	15	QCC	HOL	JBC	0.01	7.07	6.39	38%	41.90 +/- 275.89	0.00000103 +/- 0.00010239	28.66 +/- 4.05	0.00007933 +/- 0.00000990	29.09 +/- 4.55	0.00007969 +/- 0.00000996
0.3/run.par.log:DATA:	failure (warning: decay rates inconsistent)	15	QCC	HOL	JER	-0.03	7.07	7.80	74%	14.81 +/- 278.52	-0.00000010 +/- 0.00000339	28.66 +/- 4.05	0.00007933 +/- 0.00000990	32.25 +/- 4.13	0.00009044 +/- 0.00001013
0.3/run.par.log:DATA:	failure (warning: decay rates inconsistent)	4.8	QCC	HOL	LIM	0.99	7.07	7.36	96%	10.10 +/- 10.17	0.00000024 +/- 0.00000021	28.66 +/- 4.05	0.00007933 +/- 0.00000990	28.20 +/- 3.83	0.00007592 +/- 0.00000905
0.3/run.par.log:DATA:	failure (warning: decay rates inconsistent)	2.5	QCC	JBC	JER	1.37	6.39	7.80	29%	24.06 +/- 12.11	0.00000045 +/- 0.00000033	29.09 +/- 4.55	0.00007969 +/- 0.00000996	32.25 +/- 4.13	0.00009044 +/- 0.00001013
0.3/run.par.log:DATA:	failure	3.4	QCC	JBC	LIM	1.21	6.39	7.36	22%	35.33 +/- 18.54	0.00000093 +/- 0.00000077	29.09 +/- 4.55	0.00007969 +/- 0.00000996	28.20 +/- 3.83	0.00007592 +/- 0.00000905
0.3/run.par.log:DATA:	failure (warning: decay rates inconsistent)	12	QCC	JER	LIM	0.25	7.80	7.36	137%	6.00 +/- 24.17	0.00000013 +/- 0.00000030	32.25 +/- 4.13	0.00009044 +/- 0.00001013	28.20 +/- 3.83	0.00007592 +/- 0.00000905
0.4/run.par.log:DATA:	test status	p-value	test pop	ref A	ref B	2-ref z-score	1-ref z-score A	1-ref z-score B	max decay diff %	2-ref decay	2-ref amp_exp	1-ref decay A	1-ref amp_exp A	1-ref decay B	1-ref amp_exp B
0.4/run.par.log:DATA:	failure (warning: decay rates inconsistent)	15	QCC	GIR	NEL	0.00	5.71	6.11	172%	2.00 +/- inf	0.00000009 +/- inf	25.45 +/- 4.46	0.00014749 +/- 0.00002242	26.95 +/- 4.02	0.00015068 +/- 0.00002465
0.4/run.par.log:DATA:	success (warning: decay rates inconsistent)	1.2e-10	QCC	GIR	FLV	6.84	5.71	10.23	41%	24.21 +/- 3.54	0.00037690 +/- 0.00004947	25.45 +/- 4.46	0.00014749 +/- 0.00002242	36.72 +/- 3.59	0.00010297 +/- 0.00000925
0.4/run.par.log:DATA:	success	2e-10	QCC	GIR	HOL	6.76	5.71	6.85	3%	24.60 +/- 3.64	0.00038320 +/- 0.00005107	25.45 +/- 4.46	0.00014749 +/- 0.00002242	25.15 +/- 3.67	0.00006940 +/- 0.00000850
0.4/run.par.log:DATA:	success	7.2e-10	QCC	GIR	JBC	6.58	5.71	6.22	15%	26.19 +/- 3.98	0.00040804 +/- 0.00005584	25.45 +/- 4.46	0.00014749 +/- 0.00002242	29.64 +/- 4.76	0.00008203 +/- 0.00001101
0.4/run.par.log:DATA:	success (warning: decay rates inconsistent)	2.5e-10	QCC	GIR	JER	6.73	5.71	7.86	29%	24.06 +/- 3.57	0.00037565 +/- 0.00005151	25.45 +/- 4.46	0.00014749 +/- 0.00002242	32.20 +/- 4.10	0.00009031 +/- 0.00001066
0.4/run.par.log:DATA:	success (warning: decay rates inconsistent)	1.2e-10	QCC	GIR	LIM	6.83	5.71	9.06	32%	24.81 +/- 3.63	0.00038267 +/- 0.00005240	25.45 +/- 4.46	0.00014749 +/- 0.00002242	34.38 +/- 3.80	0.00009399 +/- 0.00000960
0.4/run.par.log:DATA:	success (warning: decay rates inconsistent)	2.7e-12	QCC	NEL	FLV	7.36	6.11	10.23	39%	24.73 +/- 3.35	0.00037449 +/- 0.00005086	26.95 +/- 4.02	0.00015068 +/- 0.00002465	36.72 +/- 3.59	0.00010297 +/- 0.00000925
0.4/run.par.log:DATA:	success	7.6e-12	QCC	NEL	HOL	7.22	6.11	6.85	7%	25.16 +/- 3.47	0.00038147 +/- 0.00005281	26.95 +/- 4.02	0.00015068 +/- 0.00002465	25.15 +/- 3.67	0.00006940 +/- 0.00000850
0.4/run.par.log:DATA:	success	1.3e-11	QCC	NEL	JBC	7.15	6.11	6.22	11%	26.63 +/- 3.68	0.00040501 +/- 0.00005662	26.95 +/- 4.02	0.00015068 +/- 0.00002465	29.64 +/- 4.76	0.00008203 +/- 0.00001101
0.4/run.par.log:DATA:	success (warning: decay rates inconsistent)	4.1e-11	QCC	NEL	JER	6.99	6.11	7.86	27%	24.60 +/- 3.42	0.00037354 +/- 0.00005343	26.95 +/- 4.02	0.00015068 +/- 0.00002465	32.20 +/- 4.10	0.00009031 +/- 0.00001066
0.4/run.par.log:DATA:	success (warning: decay rates inconsistent)	5.5e-11	QCC	NEL	LIM	6.95	6.11	9.06	31%	25.25 +/- 3.49	0.00037925 +/- 0.00005458	26.95 +/- 4.02	0.00015068 +/- 0.00002465	34.38 +/- 3.80	0.00009399 +/- 0.00000960
0.4/run.par.log:DATA:	failure (warning: decay rates inconsistent)	9.4	QCC	FLV	HOL	0.48	10.23	6.85	147%	165.40 +/- 266.82	0.00000466 +/- 0.00000962	36.72 +/- 3.59	0.00010297 +/- 0.00000925	25.15 +/- 3.67	0.00006940 +/- 0.00000850
0.4/run.par.log:DATA:	failure (warning: decay rates inconsistent)	1.1	QCC	FLV	JBC	1.78	10.23	6.22	79%	15.89 +/- 8.92	0.00000065 +/- 0.00000035	36.72 +/- 3.59	0.00010297 +/- 0.00000925	29.64 +/- 4.76	0.00008203 +/- 0.00001101
0.4/run.par.log:DATA:	failure	4.5	QCC	FLV	JER	1.03	10.23	7.86	13%	35.53 +/- 27.23	0.00000038 +/- 0.00000037	36.72 +/- 3.59	0.00010297 +/- 0.00000925	32.20 +/- 4.10	0.00009031 +/- 0.00001066
0.4/run.par.log:DATA:	failure	3.5	QCC	FLV	LIM	1.19	10.23	9.06	20%	42.17 +/- 33.93	0.00000056 +/- 0.00000047	36.72 +/- 3.59	0.00010297 +/- 0.00000925	34.38 +/- 3.80	0.00009399 +/- 0.00000960
0.4/run.par.log:DATA:	failure (warning: decay rates inconsistent)	3.6	QCC	HOL	JBC	1.18	6.85	6.22	29%	22.18 +/- 18.76	0.00000078 +/- 0.00000051	25.15 +/- 3.67	0.00006940 +/- 0.00000850	29.64 +/- 4.76	0.00008203 +/- 0.00001101
0.4/run.par.log:DATA:	failure (warning: decay rates inconsistent)	15	QCC	HOL	JER	0.00	6.85	7.86	181%	500.00 +/- inf	0.00039206 +/- inf	25.15 +/- 3.67	0.00006940 +/- 0.00000850	32.20 +/- 4.10	0.00009031 +/- 0.00001066
0.4/run.par.log:DATA:	failure (warning: decay rates inconsistent)	1.5	QCC	HOL	LIM	1.63	6.85	9.06	148%	5.13 +/- 3.14	0.00000022 +/- 0.00000010	25.15 +/- 3.67	0.00006940 +/- 0.00000850	34.38 +/- 3.80	0.00009399 +/- 0.00000960
0.4/run.par.log:DATA:	failure (warning: decay rates inconsistent)	0.39	QCC	JBC	JER	2.22	6.22	7.86	63%	16.73 +/- 5.66	0.00000072 +/- 0.00000033	29.64 +/- 4.76	0.00008203 +/- 0.00001101	32.20 +/- 4.10	0.00009031 +/- 0.00001066
0.4/run.par.log:DATA:	failure	0.94	QCC	JBC	LIM	1.86	6.22	9.06	17%	35.01 +/- 14.18	0.00000140 +/- 0.00000075	29.64 +/- 4.76	0.00008203 +/- 0.00001101	34.38 +/- 3.80	0.00009399 +/- 0.00000960
0.4/run.par.log:DATA:	failure (warning: decay rates inconsistent)	15	QCC	JER	LIM	0.00	7.86	9.06	178%	2.00 +/- inf	0.00000008 +/- inf	32.20 +/- 4.10	0.00009031 +/- 0.00001066	34.38 +/- 3.80	0.00009399 +/- 0.00000960
0.5/run.par.log:DATA:	test status	p-value	test pop	ref A	ref B	2-ref z-score	1-ref z-score A	1-ref z-score B	max decay diff %	2-ref decay	2-ref amp_exp	1-ref decay A	1-ref amp_exp A	1-ref decay B	1-ref amp_exp B
0.5/run.par.log:DATA:	failure (warning: decay rates inconsistent)	15	QCC	GIR	NEL	0.00	5.78	6.59	180%	500.00 +/- inf	0.00183766 +/- inf	26.47 +/- 4.58	0.00015275 +/- 0.00002272	29.69 +/- 4.18	0.00016943 +/- 0.00002570
0.5/run.par.log:DATA:	success (warning: decay rates inconsistent)	1.3e-10	QCC	GIR	FLV	6.83	5.78	9.98	37%	25.25 +/- 3.70	0.00039185 +/- 0.00005171	26.47 +/- 4.58	0.00015275 +/- 0.00002272	36.82 +/- 3.69	0.00010222 +/- 0.00000958
0.5/run.par.log:DATA:	success	6.8e-10	QCC	GIR	HOL	6.59	5.78	7.32	23%	22.13 +/- 3.36	0.00033634 +/- 0.00004835	26.47 +/- 4.58	0.00015275 +/- 0.00002272	20.96 +/- 2.86	0.00005568 +/- 0.00000685
